home_team,away_team,home_team_code,away_team_code,year,date,date_time,group_name,round,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_city,stadium_name,stadium_name_official,stadium_name_event,stadium_percentage_filled
Netherlands,Czechia,NED,CZE,2004,2004-06-19,2004-06-19T18:45:00Z,Group D,GROUP_STANDINGS,29935.0,85535,POR,31040.0,40.6478389,-8.5939,Aveiro,Estádio Municipal de Aveiro,Estádio Municipal de Aveiro,Estádio Municipal de Aveiro,96.44007731958763
Latvia,Germany,LVA,GER,2004,2004-06-19,2004-06-19T16:00:00Z,Group D,GROUP_STANDINGS,22344.0,63244,POR,26324.0,41.1622667,-8.6424694,Porto,Estádio do Bessa XXI,Estádio do Bessa XXI,Estádio do Bessa XXI,84.88071721622855
Italy,Sweden,ITA,SWE,2004,2004-06-18,2004-06-18T18:45:00Z,Group C,GROUP_STANDINGS,44926.0,85429,POR,50033.0,41.1617944,-8.5836861,Porto,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão,89.79273679371614
Bulgaria,Denmark,BUL,DEN,2004,2004-06-18,2004-06-18T16:00:00Z,Group C,GROUP_STANDINGS,24131.0,85534,POR,30286.0,41.5625056,-8.4297861,Braga,Estádio Municipal de Braga,Estádio Municipal de Braga,Estádio Municipal de Braga,79.67707851812719
Croatia,France,CRO,FRA,2004,2004-06-17,2004-06-17T18:45:00Z,Group B,GROUP_STANDINGS,29160.0,63257,POR,22857.0,39.7487917,-8.81305,Leiria,Estádio Dr. Magalhães Pessoa,Estádio Dr. Magalhães Pessoa,Estádio Dr. Magalhães Pessoa,127.57579734873343
England,Switzerland,ENG,SUI,2004,2004-06-17,2004-06-17T16:00:00Z,Group B,GROUP_STANDINGS,28214.0,83175,POR,29622.0,40.2033778,-8.4076611,Coimbra,Estádio Cidade de Coimbra,Estádio Cidade de Coimbra,Estádio Cidade de Coimbra,95.24677604483155
Russia,Portugal,RUS,POR,2004,2004-06-16,2004-06-16T18:45:00Z,Group A,GROUP_STANDINGS,59273.0,85265,POR,64274.0,38.751488,-9.188022,Lisbon,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,92.2192488408999
Greece,Spain,GRE,ESP,2004,2004-06-16,2004-06-16T16:00:00Z,Group A,GROUP_STANDINGS,25444.0,63244,POR,26324.0,41.1622667,-8.6424694,Porto,Estádio do Bessa XXI,Estádio do Bessa XXI,Estádio do Bessa XXI,96.6570430025832
Germany,Netherlands,GER,NED,2004,2004-06-15,2004-06-15T18:45:00Z,Group D,GROUP_STANDINGS,48197.0,85429,POR,50033.0,41.1617944,-8.5836861,Porto,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão,96.33042192153178
Czechia,Latvia,CZE,LVA,2004,2004-06-15,2004-06-15T16:00:00Z,Group D,GROUP_STANDINGS,21744.0,85535,POR,31040.0,40.6478389,-8.5939,Aveiro,Estádio Municipal de Aveiro,Estádio Municipal de Aveiro,Estádio Municipal de Aveiro,70.05154639175257
